YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3,Population,Latitude,Longitude,Centroid
2015,2015,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,11.1,11.1,,,10,12.3,Overall,Overall,,,,,,28,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2016,2016,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,11.1,11.1,,,9.9,12.2,Overall,Overall,,,,,,28,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,9.7,9.7,,,8.6,10.7,Overall,Overall,,,,,,28,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2017,2017,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,12.6,12.6,,,11.4,13.8,Overall,Overall,,,,,,28,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2018,MS,Mississippi,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,,Average Annual Number,6525,6525,,,,,Overall,Overall,,,,,,28,CAN,CAN4_2,AVGANNNMBR,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2018,MS,Mississippi,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,"per 100,000",Average Annual Crude Rate,218.4,218.4,,,216,220.8,Overall,Overall,,,,,,28,CAN,CAN4_2,AVGANNCRDRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2019,MS,Mississippi,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,,Average Annual Number,6535,6535,,,,,Overall,Overall,,,,,,28,CAN,CAN4_2,AVGANNNMBR,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2017,MS,Mississippi,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,"per 100,000",Average Annual Age-adjusted Rate,190.2,190.2,,,188.1,192.3,Overall,Overall,,,,,,28,CAN,CAN4_2,AVGANNAGEADJRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2018,MS,Mississippi,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,"per 100,000",Average Annual Age-adjusted Rate,186.7,186.7,,,184.6,188.8,Overall,Overall,,,,,,28,CAN,CAN4_2,AVGANNAGEADJRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2019,MS,Mississippi,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,"per 100,000",Average Annual Age-adjusted Rate,183.8,183.8,,,181.7,185.8,Overall,Overall,,,,,,28,CAN,CAN4_2,AVGANNAGEADJRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2017,MS,Mississippi,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,"per 100,000",Average Annual Crude Rate,218.4,218.4,,,216.1,220.8,Overall,Overall,,,,,,28,CAN,CAN4_2,AVGANNCRDRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2019,MS,Mississippi,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,"per 100,000",Average Annual Crude Rate,219.0,219,,,216.6,221.4,Overall,Overall,,,,,,28,CAN,CAN4_2,AVGANNCRDRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2017,MS,Mississippi,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,,Average Annual Number,6528,6528,,,,,Overall,Overall,,,,,,28,CAN,CAN4_2,AVGANNNMBR,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,12.2,12.2,,,11.3,13.2,Overall,Overall,,,,,,28,DIA,DIA2_1,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2016,2016,MS,Mississippi,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,,%,Crude Prevalence,8.3,8.3,,,7.4,9.3,Overall,Overall,,,,,,28,COPD,COPD2_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2014,MS,Mississippi,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Crude Prevalence,13.0,13,,,11.8,14.3,Overall,Overall,,,,,,28,DIA,DIA2_1,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2015,MS,Mississippi,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,13.8,13.8,,,12.7,14.9,Overall,Overall,,,,,,28,DIA,DIA2_1,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2016,2016,MS,Mississippi,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,8.0,8,,,7,9.1,Overall,Overall,,,,,,28,AST,AST1_1,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2017,2017,MS,Mississippi,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,13.0,13,,,11.9,14.1,Overall,Overall,,,,,,28,DIA,DIA2_1,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,2.8,2.8,,,2.4,3.3,Overall,Overall,,,,,,28,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2017,2017,MS,Mississippi,BRFSS,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,,%,Crude Prevalence,36.5,36.5,,,34.6,38.5,Overall,Overall,,,,,,28,CVD,CVD5_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2016,2016,MS,Mississippi,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Crude Prevalence,13.6,13.6,,,12.5,14.7,Overall,Overall,,,,,,28,DIA,DIA2_1,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2015,MS,Mississippi,BRFSS,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,33.1,33.1,,,31.4,34.9,Overall,Overall,,,,,,28,CVD,CVD5_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,BRFSS,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,,%,Crude Prevalence,41.9,41.9,,,40.2,43.7,Overall,Overall,,,,,,28,CVD,CVD5_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2017,2017,MS,Mississippi,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,,%,Crude Prevalence,8.2,8.2,,,7.3,9.2,Overall,Overall,,,,,,28,COPD,COPD2_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2017,2017,MS,Mississippi,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,3.3,3.3,,,2.6,4.1,Overall,Overall,,,,,,28,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2015,MS,Mississippi,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,2.9,2.9,,,2.4,3.4,Overall,Overall,,,,,,28,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2016,2016,MS,Mississippi,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,,%,Crude Prevalence,44.3,44.3,,,41.5,47.2,Overall,Overall,,,,,,28,ART,ART4_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2016,2016,MS,Mississippi,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,,%,Age-adjusted Prevalence,7.9,7.9,,,7,8.9,Overall,Overall,,,,,,28,COPD,COPD2_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2014,MS,Mississippi,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,,%,Crude Prevalence,44.5,44.5,,,41.3,47.8,Overall,Overall,,,,,,28,ART,ART4_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2014,MS,Mississippi,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,12.1,12.1,,,11,13.3,Overall,Overall,,,,,,28,DIA,DIA2_1,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2014,MS,Mississippi,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,7.4,7.4,,,6.4,8.6,Overall,Overall,,,,,,28,AST,AST1_1,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,8.2,8.2,,,7.3,9.2,Overall,Overall,,,,,,28,AST,AST1_1,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,,%,Crude Prevalence,8.7,8.7,,,7.9,9.7,Overall,Overall,,,,,,28,COPD,COPD2_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2014,MS,Mississippi,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,,%,Crude Prevalence,7.4,7.4,,,6.5,8.4,Overall,Overall,,,,,,28,COPD,COPD2_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,BRFSS,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,36.6,36.6,,,34.8,38.4,Overall,Overall,,,,,,28,CVD,CVD5_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2016,2016,MS,Mississippi,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,12.6,12.6,,,11.6,13.7,Overall,Overall,,,,,,28,DIA,DIA2_1,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2017,2017,MS,Mississippi,BRFSS,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,33.0,33,,,31.2,35,Overall,Overall,,,,,,28,CVD,CVD5_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2017,2017,MS,Mississippi,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Age-adjusted Prevalence,3.1,3.1,,,2.4,3.9,Overall,Overall,,,,,,28,CKD,CKD3_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,,%,Crude Prevalence,47.6,47.6,,,44.9,50.4,Overall,Overall,,,,,,28,ART,ART4_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2017,2017,MS,Mississippi,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,,%,Crude Prevalence,46.9,46.9,,,43.8,50.1,Overall,Overall,,,,,,28,ART,ART4_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2017,2017,MS,Mississippi,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,,%,Age-adjusted Prevalence,7.7,7.7,,,6.8,8.8,Overall,Overall,,,,,,28,COPD,COPD2_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2014,MS,Mississippi,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,2.9,2.9,,,2.3,3.6,Overall,Overall,,,,,,28,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,,%,Age-adjusted Prevalence,8.4,8.4,,,7.6,9.4,Overall,Overall,,,,,,28,COPD,COPD2_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2014,MS,Mississippi,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,,%,Age-adjusted Prevalence,42.3,42.3,,,35.3,49.6,Overall,Overall,,,,,,28,ART,ART4_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2014,MS,Mississippi,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,7.5,7.5,,,6.4,8.8,Overall,Overall,,,,,,28,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2015,MS,Mississippi,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,,%,Crude Prevalence,48.1,48.1,,,45.3,51,Overall,Overall,,,,,,28,ART,ART4_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.1,8.1,,,7.3,9.1,Overall,Overall,,,,,,28,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2016,2016,MS,Mississippi,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,,%,Age-adjusted Prevalence,38.6,38.6,,,34.2,43.2,Overall,Overall,,,,,,28,ART,ART4_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2015,MS,Mississippi,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,,%,Age-adjusted Prevalence,7.3,7.3,,,6.4,8.3,Overall,Overall,,,,,,28,COPD,COPD2_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2015,MS,Mississippi,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Age-adjusted Prevalence,2.7,2.7,,,2.2,3.3,Overall,Overall,,,,,,28,CKD,CKD3_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2016,2016,MS,Mississippi,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Crude Prevalence,4.0,4,,,3.3,4.8,Overall,Overall,,,,,,28,CKD,CKD3_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2014,MS,Mississippi,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,,%,Age-adjusted Prevalence,7.1,7.1,,,6.2,8.2,Overall,Overall,,,,,,28,COPD,COPD2_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2015,MS,Mississippi,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,,%,Crude Prevalence,7.8,7.8,,,6.9,8.8,Overall,Overall,,,,,,28,COPD,COPD2_0,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2015,MS,Mississippi,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,7.8,7.8,,,6.8,9,Overall,Overall,,,,,,28,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2017,2017,MS,Mississippi,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.3,8.3,,,7.3,9.4,Overall,Overall,,,,,,28,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2014,MS,Mississippi,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Age-adjusted Prevalence,2.8,2.8,,,2.2,3.5,Overall,Overall,,,,,,28,CKD,CKD3_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Crude Prevalence,12.9,12.9,,,11.9,13.9,Overall,Overall,,,,,,28,DIA,DIA2_1,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2016,2016,MS,Mississippi,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Age-adjusted Prevalence,3.8,3.8,,,3.1,4.6,Overall,Overall,,,,,,28,CKD,CKD3_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2017,2017,MS,Mississippi,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,,%,Age-adjusted Prevalence,44.2,44.2,,,38.1,50.6,Overall,Overall,,,,,,28,ART,ART4_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,,%,Age-adjusted Prevalence,44.4,44.4,,,39.7,49.1,Overall,Overall,,,,,,28,ART,ART4_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2015,MS,Mississippi,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Crude Prevalence,14.7,14.7,,,13.6,15.9,Overall,Overall,,,,,,28,DIA,DIA2_1,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2015,MS,Mississippi,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,,%,Age-adjusted Prevalence,44.5,44.5,,,39.4,49.7,Overall,Overall,,,,,,28,ART,ART4_0,AGEADJPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2015,MS,Mississippi,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,7.8,7.8,,,6.8,8.9,Overall,Overall,,,,,,28,AST,AST1_1,CRDPREV,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
