Year,LocationAbbr,Centroid,Topic
2014,OR,"{""type"":""Point"", ""coordinates"":[-122.579524,44.732273]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Chronic Kidney Disease']"
2014,PA,"{""type"":""Point"", ""coordinates"":[-77.075925,40.463528]}","['Alcohol', 'Asthma', 'Cancer', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,RI,"{""type"":""Point"", ""coordinates"":[-71.448902,41.753318]}","['Alcohol', 'Asthma', 'Cancer']"
2014,SC,"{""type"":""Point"", ""coordinates"":[-81.032387,34.034551]}","['Alcohol', 'Arthritis', 'Cancer', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,SD,"{""type"":""Point"", ""coordinates"":[-99.043799,44.047502]}","['Alcohol', 'Cancer']"
2014,TN,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}","['Alcohol', 'Arthritis', 'Cancer', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,TX,"{""type"":""Point"", ""coordinates"":[-97.388631,30.943149]}","['Alcohol', 'Arthritis', 'Cancer', 'Chronic Kidney Disease', 'Diabetes']"
2014,UT,"{""type"":""Point"", ""coordinates"":[-111.90016,40.438987]}","['Alcohol', 'Cancer']"
2014,VA,"{""type"":""Point"", ""coordinates"":[-77.835857,37.750345]}","['Alcohol', 'Cancer']"
2014,VT,"{""type"":""Point"", ""coordinates"":[-72.814309,44.081127]}","['Alcohol', 'Asthma', 'Cancer']"
2014,WA,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}","['Alcohol', 'Arthritis', 'Cancer']"
2014,WI,"{""type"":""Point"", ""coordinates"":[-89.001006,43.728544]}","['Alcohol', 'Asthma', 'Cancer']"
2014,WV,"{""type"":""Point"", ""coordinates"":[-80.820221,38.767195]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,WY,"{""type"":""Point"", ""coordinates"":[-107.008835,42.675762]}","['Alcohol', 'Cancer', 'Chronic Obstructive Pulmonary Disease']"
2015,AK,"{""type"":""Point"", ""coordinates"":[-148.716968,61.288254]}","['Alcohol', 'Cancer']"
2015,AL,"{""type"":""Point"", ""coordinates"":[-86.766233,33.001471]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,AR,"{""type"":""Point"", ""coordinates"":[-92.576816,35.080251]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,AZ,"{""type"":""Point"", ""coordinates"":[-111.828711,33.373506]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Diabetes']"
2015,CA,"{""type"":""Point"", ""coordinates"":[-119.355165,35.458606]}","['Alcohol', 'Cancer']"
2015,CO,"{""type"":""Point"", ""coordinates"":[-105.203628,39.500656]}","['Alcohol', 'Cancer']"
2015,CT,"{""type"":""Point"", ""coordinates"":[-72.874365,41.494852]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease']"
2015,DC,"{""type"":""Point"", ""coordinates"":[-77.014001,38.910092]}","['Alcohol', 'Asthma', 'Cancer', 'Chronic Kidney Disease']"
2015,DE,"{""type"":""Point"", ""coordinates"":[-75.561908,39.397164]}","['Alcohol', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,FL,"{""type"":""Point"", ""coordinates"":[-81.634622,27.79585]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,GA,"{""type"":""Point"", ""coordinates"":[-83.868887,33.332208]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,HI,"{""type"":""Point"", ""coordinates"":[-157.524452,21.146768]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease']"
2015,IA,"{""type"":""Point"", ""coordinates"":[-93.049161,41.960392]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2015,ID,"{""type"":""Point"", ""coordinates"":[-115.133222,44.242605]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2015,IL,"{""type"":""Point"", ""coordinates"":[-88.380238,41.278216]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2015,IN,"{""type"":""Point"", ""coordinates"":[-86.261515,40.163935]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,KS,"{""type"":""Point"", ""coordinates"":[-96.536052,38.454303]}","['Alcohol', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease']"
2015,KY,"{""type"":""Point"", ""coordinates"":[-85.241819,37.808159]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,LA,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,MA,"{""type"":""Point"", ""coordinates"":[-71.363628,42.271831]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease']"
2015,MD,"{""type"":""Point"", ""coordinates"":[-76.797396,39.145653]}","['Alcohol', 'Cancer', 'Cardiovascular Disease', 'Diabetes']"
2015,ME,"{""type"":""Point"", ""coordinates"":[-69.719931,44.313614]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease']"
2015,MI,"{""type"":""Point"", ""coordinates"":[-84.170753,42.866412]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,MN,"{""type"":""Point"", ""coordinates"":[-93.583003,45.210782]}","['Alcohol', 'Cancer']"
2015,MO,"{""type"":""Point"", ""coordinates"":[-92.15377,38.437715]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,MS,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,MT,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}","['Alcohol', 'Cancer']"
2015,NC,"{""type"":""Point"", ""coordinates"":[-79.667654,35.553334]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,ND,"{""type"":""Point"", ""coordinates"":[-99.334736,47.375168]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2015,NE,"{""type"":""Point"", ""coordinates"":[-97.403875,41.183753]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2015,NH,"{""type"":""Point"", ""coordinates"":[-71.463342,43.153046]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease']"
2015,NJ,"{""type"":""Point"", ""coordinates"":[-74.428055,40.438458]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2015,NM,"{""type"":""Point"", ""coordinates"":[-106.342108,34.623012]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Diabetes']"
2015,NV,"{""type"":""Point"", ""coordinates"":[-116.304648,37.165965]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease']"
2015,NY,"{""type"":""Point"", ""coordinates"":[-74.645228,41.507548]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease']"
2015,OH,"{""type"":""Point"", ""coordinates"":[-82.749366,40.480854]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,OK,"{""type"":""Point"", ""coordinates"":[-96.834653,35.59794]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,OR,"{""type"":""Point"", ""coordinates"":[-122.579524,44.732273]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Diabetes']"
2015,PA,"{""type"":""Point"", ""coordinates"":[-77.075925,40.463528]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,RI,"{""type"":""Point"", ""coordinates"":[-71.448902,41.753318]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease']"
2015,SC,"{""type"":""Point"", ""coordinates"":[-81.032387,34.034551]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,SD,"{""type"":""Point"", ""coordinates"":[-99.043799,44.047502]}","['Alcohol', 'Cancer']"
2015,TN,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,TX,"{""type"":""Point"", ""coordinates"":[-97.388631,30.943149]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Diabetes']"
2015,UT,"{""type"":""Point"", ""coordinates"":[-111.90016,40.438987]}","['Alcohol', 'Cancer']"
2015,VA,"{""type"":""Point"", ""coordinates"":[-77.835857,37.750345]}","['Alcohol', 'Cancer', 'Cardiovascular Disease', 'Diabetes']"
2015,VT,"{""type"":""Point"", ""coordinates"":[-72.814309,44.081127]}","['Alcohol', 'Asthma', 'Cancer']"
2015,WA,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}","['Alcohol', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease']"
2015,WI,"{""type"":""Point"", ""coordinates"":[-89.001006,43.728544]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease']"
2015,WV,"{""type"":""Point"", ""coordinates"":[-80.820221,38.767195]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2015,WY,"{""type"":""Point"", ""coordinates"":[-107.008835,42.675762]}","['Alcohol', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease']"
2016,AK,"{""type"":""Point"", ""coordinates"":[-148.716968,61.288254]}",['Alcohol']
2016,AL,"{""type"":""Point"", ""coordinates"":[-86.766233,33.001471]}","['Alcohol', 'Arthritis', 'Asthma', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2016,AR,"{""type"":""Point"", ""coordinates"":[-92.576816,35.080251]}","['Alcohol', 'Arthritis', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2016,AZ,"{""type"":""Point"", ""coordinates"":[-111.828711,33.373506]}","['Alcohol', 'Arthritis', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2016,CA,"{""type"":""Point"", ""coordinates"":[-119.355165,35.458606]}","['Alcohol', 'Arthritis', 'Diabetes']"
2016,CO,"{""type"":""Point"", ""coordinates"":[-105.203628,39.500656]}",['Alcohol']
2016,CT,"{""type"":""Point"", ""coordinates"":[-72.874365,41.494852]}","['Alcohol', 'Arthritis', 'Asthma', 'Chronic Kidney Disease']"
2016,DC,"{""type"":""Point"", ""coordinates"":[-77.014001,38.910092]}","['Alcohol', 'Asthma']"
2016,DE,"{""type"":""Point"", ""coordinates"":[-75.561908,39.397164]}","['Alcohol', 'Chronic Kidney Disease', 'Diabetes']"
2016,FL,"{""type"":""Point"", ""coordinates"":[-81.634622,27.79585]}","['Alcohol', 'Arthritis', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
